CPU: 0, Memory: 66.39716339111328
CPU: 8.271050453186035, Memory: 66.38915252685547
CPU: 11.89393424987793, Memory: 66.3777084350586
CPU: 4.237820148468018, Memory: 66.25320434570312
CPU: 4.357651233673096, Memory: 66.25922393798828
CPU: 2.803457260131836, Memory: 66.21783447265625
CPU: 4.429515838623047, Memory: 66.2219009399414
CPU: 5.5121002197265625, Memory: 66.21430969238281
CPU: 12.178934097290039, Memory: 66.24887084960938
CPU: 4.608825206756592, Memory: 66.24745178222656
CPU: 6.252600193023682, Memory: 66.25924682617188
CPU: 5.6546759605407715, Memory: 66.23719024658203
CPU: 3.0116493701934814, Memory: 66.27483367919922
CPU: 11.00617790222168, Memory: 66.23657989501953
CPU: 4.283804416656494, Memory: 66.256103515625
